"Atividade";"Template";"Variavel";"Tipo_Variavel";;;;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00007969. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00007969";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00007969 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00007969";"process_id";;;;;;
"Register request";"Request PROC.2026.00008084 was registered by Alice Martins for project Digital Campus, with an estimated amount of 4.371,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"4371,50 €";"amount";"PROC.2026.00008084";"process_id";"Digital Campus";"project";"Alice Martins";"requester"
"Validate request";"The request PROC.2026.00008084 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008084";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008084, in the amount of 4.371,50€, under budget record BUD.2026.00008026. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"4371,50 €";"amount";"BUD.2026.00008026";"budget_id";"PROC.2026.00008084";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008084, in the amount of 4.371,50€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"4371,50 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00008084";"process_id";;
"Commit expense";"Commitment COM.2026.00008052 was generated for process PROC.2026.00008084, in the amount of 4.371,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"4371,50 €";"amount";"COM.2026.00008052";"commitment_id";"PROC.2026.00008084";"process_id";;
"Issue order";"Order ORD.2026.00008050 was issued for process PROC.2026.00008084. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008050";"order_id";"PROC.2026.00008084";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00008084. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008084";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00008084 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008084";"process_id";;;;;;
"Register request";"Request PROC.2026.00008165 was registered by Bruno Costa for project Digital Campus, with an estimated amount of 6.054,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6054,50 €";"amount";"PROC.2026.00008165";"process_id";"Digital Campus";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00008165 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008165";"process_id";;;;;;
"Check budget";"The amount 6.054,50€ associated with process PROC.2026.00008165 is covered by budget record BUD.2026.00008116. The verification confirms that the requested expenditure has available funding and can be forwarded to the responsible authority for formal authorization of the expense.";"6054,50 €";"amount";"BUD.2026.00008116";"budget_id";"PROC.2026.00008165";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008165, in the amount of 6.054,50€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6054,50 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00008165";"process_id";;
"Commit expense";"Commitment COM.2026.00008183 was generated for process PROC.2026.00008165, in the amount of 6.054,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6054,50 €";"amount";"COM.2026.00008183";"commitment_id";"PROC.2026.00008165";"process_id";;
"Issue order";"Order ORD.2026.00008158 was issued for process PROC.2026.00008165. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008158";"order_id";"PROC.2026.00008165";"process_id";;;;
"Notify requester";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00008165. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008165";"process_id";"Bruno Costa";"requester";;;;
"Close";"Process PROC.2026.00008165 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008165";"process_id";;;;;;
"Register request";"The case PROC.2026.00008251 was opened for project Digital Campus, with the initial amount recorded as 534,00€. The submitted information was accepted for preliminary registration, and the process was made available for formal validation before any budgetary or authorization steps are performed.";"534,00 €";"amount";"PROC.2026.00008251";"process_id";"Digital Campus";"project";;
"Validate request";"The request PROC.2026.00008251 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008251";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008251, in the amount of 534,00€, under budget record BUD.2026.00008249. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"534,00 €";"amount";"BUD.2026.00008249";"budget_id";"PROC.2026.00008251";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008251, in the amount of 534,00€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"534,00 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00008251";"process_id";;
"Commit expense";"Commitment COM.2026.00008238 was generated for process PROC.2026.00008251, in the amount of 534,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"534,00 €";"amount";"COM.2026.00008238";"commitment_id";"PROC.2026.00008251";"process_id";;
"Issue order";"Order ORD.2026.00008281 was issued for process PROC.2026.00008251. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008281";"order_id";"PROC.2026.00008251";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00008251. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008251";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00008251 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008251";"process_id";;;;;;
"Register request";"Request PROC.2026.00008363 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 2.641,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"2641,00 €";"amount";"PROC.2026.00008363";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00008363 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008363";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008363, in the amount of 2.641,00€, under budget record BUD.2026.00008394. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"2641,00 €";"amount";"BUD.2026.00008394";"budget_id";"PROC.2026.00008363";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008363, in the amount of 2.641,00€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"2641,00 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00008363";"process_id";;
"Commit expense";"Commitment COM.2026.00008311 was generated for process PROC.2026.00008363, in the amount of 2.641,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"2641,00 €";"amount";"COM.2026.00008311";"commitment_id";"PROC.2026.00008363";"process_id";;
"Issue order";"The order ORD.2026.00008344 was issued for project Secure Archive within process PROC.2026.00008363. The document consolidates the administrative, budgetary, and authorization information previously recorded, allowing the case to move to notification and final closure activities.";"ORD.2026.00008344";"order_id";"PROC.2026.00008363";"process_id";"Secure Archive";"project";;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00008363. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008363";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00008363 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008363";"process_id";;;;;;
"Register request";"Request PROC.2026.00008425 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 1.047,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"1047,00 €";"amount";"PROC.2026.00008425";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00008425 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008425";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008425, in the amount of 1.047,00€, under budget record BUD.2026.00008498. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"1047,00 €";"amount";"BUD.2026.00008498";"budget_id";"PROC.2026.00008425";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008425, in the amount of 1.047,00€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"1047,00 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00008425";"process_id";;
"Commit expense";"Commitment COM.2026.00008473 was generated for process PROC.2026.00008425, in the amount of 1.047,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"1047,00 €";"amount";"COM.2026.00008473";"commitment_id";"PROC.2026.00008425";"process_id";;
"Issue order";"Order ORD.2026.00008410 was issued for process PROC.2026.00008425. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008410";"order_id";"PROC.2026.00008425";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00008425. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008425";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00008425 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008425";"process_id";;;;;;
"Register request";"Request PROC.2026.00008551 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 2.209,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"2209,75 €";"amount";"PROC.2026.00008551";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00008551 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008551";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008551, in the amount of 2.209,75€, under budget record BUD.2026.00008515. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"2209,75 €";"amount";"BUD.2026.00008515";"budget_id";"PROC.2026.00008551";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008551, in the amount of 2.209,75€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"2209,75 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00008551";"process_id";;
"Commit expense";"Commitment COM.2026.00008595 was generated for process PROC.2026.00008551, in the amount of 2.209,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"2209,75 €";"amount";"COM.2026.00008595";"commitment_id";"PROC.2026.00008551";"process_id";;
"Issue order";"Order ORD.2026.00008516 was issued for process PROC.2026.00008551. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008516";"order_id";"PROC.2026.00008551";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00008551. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008551";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00008551 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008551";"process_id";;;;;;
"Register request";"Request PROC.2026.00008659 was registered by Diogo Almeida for project Secure Archive, with an estimated amount of 6.336,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6336,75 €";"amount";"PROC.2026.00008659";"process_id";"Secure Archive";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00008659 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008659";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008659, in the amount of 6.336,75€, under budget record BUD.2026.00008652. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6336,75 €";"amount";"BUD.2026.00008652";"budget_id";"PROC.2026.00008659";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008659, in the amount of 6.336,75€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6336,75 €";"amount";"Article 16";"legal_ref";"PROC.2026.00008659";"process_id";;
"Commit expense";"Commitment COM.2026.00008693 was generated for process PROC.2026.00008659, in the amount of 6.336,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6336,75 €";"amount";"COM.2026.00008693";"commitment_id";"PROC.2026.00008659";"process_id";;
"Issue order";"Order ORD.2026.00008668 was issued for process PROC.2026.00008659. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008668";"order_id";"PROC.2026.00008659";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00008659. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008659";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Administrative closure was recorded for process PROC.2026.00008659. The case has completed the prescribed sequence of validation, budget verification, authorization, commitment, order issuing, and notification, and it is now considered finalized for operational and reporting purposes.";"PROC.2026.00008659";"process_id";;;;;;
"Register request";"Request PROC.2026.00008758 was registered by Diogo Almeida for project Digital Campus, with an estimated amount of 6.745,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6745,75 €";"amount";"PROC.2026.00008758";"process_id";"Digital Campus";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00008758 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008758";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008758, in the amount of 6.745,75€, under budget record BUD.2026.00008797. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6745,75 €";"amount";"BUD.2026.00008797";"budget_id";"PROC.2026.00008758";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008758, in the amount of 6.745,75€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6745,75 €";"amount";"Article 16";"legal_ref";"PROC.2026.00008758";"process_id";;
"Commit expense";"Commitment COM.2026.00008742 was generated for process PROC.2026.00008758, in the amount of 6.745,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6745,75 €";"amount";"COM.2026.00008742";"commitment_id";"PROC.2026.00008758";"process_id";;
"Issue order";"Order ORD.2026.00008741 was issued for process PROC.2026.00008758. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008741";"order_id";"PROC.2026.00008758";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00008758. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008758";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00008758 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008758";"process_id";;;;;;
"Register request";"Request PROC.2026.00008816 was registered by Diogo Almeida for project Student Portal, with an estimated amount of 8.302,25€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"8302,25 €";"amount";"PROC.2026.00008816";"process_id";"Student Portal";"project";"Diogo Almeida";"requester"
"Validate request";"The request PROC.2026.00008816 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008816";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008816, in the amount of 8.302,25€, under budget record BUD.2026.00008828. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"8302,25 €";"amount";"BUD.2026.00008828";"budget_id";"PROC.2026.00008816";"process_id";;
"Authorize expense";"Expense authorization is granted for process PROC.2026.00008816, corresponding to the amount of 8.302,25€. The decision is supported by the previously validated information and by the applicable legal reference Article 16, allowing the financial commitment to be generated.";"8302,25 €";"amount";"Article 16";"legal_ref";"PROC.2026.00008816";"process_id";;
"Commit expense";"The expense associated with process PROC.2026.00008816 was committed under reference COM.2026.00008858 for project Student Portal. This step records the authorized amount in the financial workflow and enables the procurement activity to continue with the issuing of the order.";"COM.2026.00008858";"commitment_id";"PROC.2026.00008816";"process_id";"Student Portal";"project";;
"Issue order";"Order ORD.2026.00008839 was issued for process PROC.2026.00008816. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008839";"order_id";"PROC.2026.00008816";"process_id";;;;
"Notify requester";"Requester Diogo Almeida was notified about the outcome of process PROC.2026.00008816. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008816";"process_id";"Diogo Almeida";"requester";;;;
"Close";"Process PROC.2026.00008816 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008816";"process_id";;;;;;
"Register request";"The case PROC.2026.00008956 was opened for project Student Portal, with the initial amount recorded as 5.383,00€. The submitted information was accepted for preliminary registration, and the process was made available for formal validation before any budgetary or authorization steps are performed.";"5383,00 €";"amount";"PROC.2026.00008956";"process_id";"Student Portal";"project";;
"Validate request";"The request PROC.2026.00008956 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00008956";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00008956, in the amount of 5.383,00€, under budget record BUD.2026.00008913. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"5383,00 €";"amount";"BUD.2026.00008913";"budget_id";"PROC.2026.00008956";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00008956, in the amount of 5.383,00€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"5383,00 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00008956";"process_id";;
"Commit expense";"Commitment COM.2026.00008954 was generated for process PROC.2026.00008956, in the amount of 5.383,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"5383,00 €";"amount";"COM.2026.00008954";"commitment_id";"PROC.2026.00008956";"process_id";;
"Issue order";"Order ORD.2026.00008977 was issued for process PROC.2026.00008956. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00008977";"order_id";"PROC.2026.00008956";"process_id";;;;
"Notify requester";"Requester Alice Martins was notified about the outcome of process PROC.2026.00008956. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00008956";"process_id";"Alice Martins";"requester";;;;
"Close";"Process PROC.2026.00008956 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00008956";"process_id";;;;;;
"Register request";"Request PROC.2026.00009076 was registered by Bruno Costa for project Digital Campus, with an estimated amount of 7.091,50€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"7091,50 €";"amount";"PROC.2026.00009076";"process_id";"Digital Campus";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00009076 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00009076";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00009076, in the amount of 7.091,50€, under budget record BUD.2026.00009080. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"7091,50 €";"amount";"BUD.2026.00009080";"budget_id";"PROC.2026.00009076";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00009076, in the amount of 7.091,50€, under the applicable reference Law 35/2014. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"7091,50 €";"amount";"Law 35/2014";"legal_ref";"PROC.2026.00009076";"process_id";;
"Commit expense";"Commitment COM.2026.00009044 was generated for process PROC.2026.00009076, in the amount of 7.091,50€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"7091,50 €";"amount";"COM.2026.00009044";"commitment_id";"PROC.2026.00009076";"process_id";;
"Issue order";"Order ORD.2026.00009070 was issued for process PROC.2026.00009076. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00009070";"order_id";"PROC.2026.00009076";"process_id";;;;
"Notify requester";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00009076. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00009076";"process_id";"Bruno Costa";"requester";;;;
"Close";"Process PROC.2026.00009076 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00009076";"process_id";;;;;;
"Register request";"Request PROC.2026.00009132 was registered by Bruno Costa for project Secure Archive, with an estimated amount of 7.845,00€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"7845,00 €";"amount";"PROC.2026.00009132";"process_id";"Secure Archive";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00009132 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00009132";"process_id";;;;;;
"Check budget";"The amount 7.845,00€ associated with process PROC.2026.00009132 is covered by budget record BUD.2026.00009170. The verification confirms that the requested expenditure has available funding and can be forwarded to the responsible authority for formal authorization of the expense.";"7845,00 €";"amount";"BUD.2026.00009170";"budget_id";"PROC.2026.00009132";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00009132, in the amount of 7.845,00€, under the applicable reference DL 18/2008. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"7845,00 €";"amount";"DL 18/2008";"legal_ref";"PROC.2026.00009132";"process_id";;
"Commit expense";"Commitment COM.2026.00009176 was generated for process PROC.2026.00009132, in the amount of 7.845,00€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"7845,00 €";"amount";"COM.2026.00009176";"commitment_id";"PROC.2026.00009132";"process_id";;
"Issue order";"Order ORD.2026.00009192 was issued for process PROC.2026.00009132. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00009192";"order_id";"PROC.2026.00009132";"process_id";;;;
"Notify requester";"Requester Bruno Costa was notified about the outcome of process PROC.2026.00009132. The communication includes the relevant administrative information and confirms that the preceding validation, authorization, commitment, and order activities have been completed, allowing the process to move toward closure.";"PROC.2026.00009132";"process_id";"Bruno Costa";"requester";;;;
"Close";"Process PROC.2026.00009132 was closed and archived after completion of the required administrative, financial, and notification activities. No additional action is pending in the workflow, and the case history contains the necessary evidence to support future consultation or audit requirements.";"PROC.2026.00009132";"process_id";;;;;;
"Register request";"Request PROC.2026.00009210 was registered by Bruno Costa for project Digital Campus, with an estimated amount of 6.349,75€. The case was opened with the available administrative information, assigned to the competent service, and prepared for subsequent validation of documents, budget information, and process eligibility.";"6349,75 €";"amount";"PROC.2026.00009210";"process_id";"Digital Campus";"project";"Bruno Costa";"requester"
"Validate request";"The request PROC.2026.00009210 was validated on the basis of the submitted administrative elements. The information available in the case is sufficient to continue the workflow, allowing the process to proceed to budget checking without requiring additional clarification from the requester at this stage.";"PROC.2026.00009210";"process_id";;;;;;
"Check budget";"Budget availability was confirmed for process PROC.2026.00009210, in the amount of 6.349,75€, under budget record BUD.2026.00009214. The financial information was checked against the registered request, and no budgetary obstacle was identified for continuing the authorization and commitment stages.";"6349,75 €";"amount";"BUD.2026.00009214";"budget_id";"PROC.2026.00009210";"process_id";;
"Authorize expense";"I authorize the expense for process PROC.2026.00009210, in the amount of 6.349,75€, under the applicable reference Article 16. The authorization is issued after validation of the administrative and budgetary elements, enabling the process to continue to the commitment stage.";"6349,75 €";"amount";"Article 16";"legal_ref";"PROC.2026.00009210";"process_id";;
"Commit expense";"Commitment COM.2026.00009233 was generated for process PROC.2026.00009210, in the amount of 6.349,75€. The commitment records the authorized expenditure in the financial system and confirms that the process has the necessary budgetary support to proceed to the order or contract stage.";"6349,75 €";"amount";"COM.2026.00009233";"commitment_id";"PROC.2026.00009210";"process_id";;
"Issue order";"Order ORD.2026.00009262 was issued for process PROC.2026.00009210. The order document reflects the validated request, the authorized expenditure, and the recorded financial commitment, and it is now available to support communication with the requester and the completion of the procurement procedure.";"ORD.2026.00009262";"order_id";"PROC.2026.00009210";"process_id";;;;
